SERIALNUMBER,SOCS1REPAIRCODE,SOCS2COMPONENTCODE,SOCS3DEFECT_CODE,NR_INTERVENTION
610148427,Functional check,DOOR,"Dirty, clogged",1
371136302757,Explanation for customer  (IFU),INSTRUCTION FOR USE,No problem found,1
151513007202,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
151441005194,Part Replaced,CONTROL PANEL,"Incorrect wired, assembled",1
151634009056,Part Replaced,MAINS LEAD / CORD,Short circuit,1
151545000490,Part Replaced,DOOR,Worn out (or general mechanical defect),1
151617005297,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
151615000566,Part Replaced,TRANSFORMER,Short circuit,1
151617003090,Part Replaced,CONTROL BOARD / SENSOR BOARD,Faulty mains voltage,1
151643001026,Repaired component,MICROSWITCH,"Loose, off, stripped",1
151527005209,Part Replaced,USER BOARD,Short circuit,1
151615000561,Part Replaced,TURNTABLE MOTOR,Mechanically misaligned,1
371020701394,Part Replaced,"PANEL, FRONT","Cut, broken, split, torn",1
370512700613,Mechanical alignments,WIRING,"Misoperating (component, module)",1
151509004317,Part Replaced,CONTROL PANEL,Mechanically misaligned,1
151610000183,Mechanical alignments,CONNECTOR / PLUG,"Bad contact, connection",1
371412002129,Part Replaced,USER BOARD,"Misoperating (component, module)",1
370915700015,Mechanical alignments,HOOK / DOOR-LATCH,"Loose, off, stripped",1
151549002328,Mechanical alignments,DOOR,Mechanically misaligned,1
151552001984,Part Replaced,MAGNETRON,Burnt,1
371319700040,Part Replaced,POWER BOARD,Burnt,1
371150700300,Part Replaced,"CAP, PUSHBUTTON",Mechanically misaligned,1
370835702343,Part Replaced,CERAMIC / MICA / ASBESTOS-COVER,"Misoperating (component, module)",1
371210302391,Part Replaced,PILOT LIGHT / LED,Short circuit,1
151522006039,Electrical alignment / wiring / Resolder,GENERATOR,Short circuit,1
371426017104,Electrical alignment / wiring / Resolder,USER BOARD,"Incorrect wired, assembled",1
371213701151,Part Replaced,POWER BOARD,Burnt,1
370738100011,Part Replaced,WIRING,"Incorrect wired, assembled",1
371221303339,Part Replaced,POWER BOARD,Open circuit,1
371037300782,Part Replaced,MAGNETRON,"Too cold, low temperature",1
151610004489,Repaired component,DOOR / LID,Leaking,1
371301300463,Part Replaced,USER BOARD,"Misoperating (component, module)",1
371210302474,Part Replaced,CONTROL BOARD / SENSOR BOARD,Open circuit,1
371034304059,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
370941100194,Electrical alignment / wiring / Resolder,USER BOARD,"Incorrect wired, assembled",1
151610007411,Software correction / upgrade / reset,POWER BOARD,Software problem,1
151540005452,Part Replaced,TRANSFORMER,Noisy,1
371348007693,Software correction / upgrade / reset,POWER BOARD,"Misoperating (component, module)",1
371307700516,Repaired component,WIRING,"Bad contact, connection",1
999999999,Functional check,MAINS ON / OFF-SWITCH,"Misoperating (component, module)",1
151449000314,Part Replaced,MAGNETRON,"Incorrect wired, assembled",1
371126301759,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
421518008003,Part Replaced,FUSE,Open circuit,1
151530008135,Part Replaced,CONTROL PANEL,"Cut, broken, split, torn",1
371013701140,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
507290785,Mechanical alignments,WIRING,"Loose, off, stripped",1
151634008901,Functional check,INSTRUCTION FOR USE,No problem found,1
371432004356,Mechanical alignments,DOOR,Installation fault,1
605030548,Preventive action,"MOTOR-FAN, CIRCULATION","Incorrect wired, assembled",1
221530000001,Functional check,OTHERS MECHANICAL,No problem found,1
608180447,Electrical alignment / wiring / Resolder,WIRING,Open circuit,1
605180135,Part Replaced,CABINET,"Scratched, dented, sharp edges",1
151549005403,Part Replaced,"PANEL, FRONT","Incorrect wired, assembled",1
605191607,Part Replaced,INNER DOOR-GLASS,"Scratched, dented, sharp edges",1
151619003159,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
Not assigned,Repaired component,MAIN MOTOR,"Loose, off, stripped",1
603020013,Part Replaced,USER BOARD,Short circuit,1
371206300277,Part Replaced,USER BOARD,Deformed,1
502103417,Product exchange proposal,POWER BOARD,"Incorrect wired, assembled",1
151615005397,Mechanical alignments,DOOR,"Incorrect wired, assembled",1
151624006262,Mechanical alignments,"MOTOR-FAN, CIRCULATION",Vibrating,1
505150503,Part Replaced,USER BOARD,"Misoperating (component, module)",1
421607000243,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
141619024971,Functional check,INSTALLATION PROBLEM,No problem found,1
151616006678,Functional check,CABINET,"Scratched, dented, sharp edges",1
151638003769,Functional check,DISPLAY,"Misoperating (component, module)",1
501060076,Part Replaced,CONTROL PANEL,Software problem,1
503090002,Part Replaced,USER BOARD,"Misoperating (component, module)",1
371434004635,Repaired component,POWER BOARD,"Misoperating (component, module)",1
421539014249,Mechanical alignments,PERFORMANCE COMPLAINT,Unable to diagnose fault,1
151546009737,Functional check,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
604050030,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
151621004495,Repaired component,DISPLAY,"Cut, broken, split, torn",1
421612002713,Electrical alignment / wiring / Resolder,WIRING,"Incorrect wired, assembled",1
151520002731,Mechanical alignments,"CAP, PUSHBUTTON",Tight,1
999999999,Part Replaced,"PANEL, FRONT","Misoperating (component, module)",1
151616006386,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Short circuit,1
151607007823,Explanation for customer  (IFU),INSTRUCTION FOR USE,No problem found,1
151442007139,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
604284004,Part Replaced,ACCESSORIES,Worn out (or general mechanical defect),1
371151700234,Preventive action,KNOB,"Incorrect wired, assembled",1
151604008343,Part Replaced,USER BOARD,Burnt,1
301240148,Mechanical alignments,MICROSWITCH,"Loose, off, stripped",1
606230699,Part Replaced,THERMOSTAT,"Misoperating (component, module)",1
151530004180,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
151621000539,Part Replaced,USER BOARD,"Misoperating (component, module)",1
221,Product Installation,NEW APPLIANCE,No problem found,1
Not assigned,Product Installation,NEW APPLIANCE,No problem found,1
151603007169,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Bad contact, connection",1
606230051,Product Installation,NEW APPLIANCE,No problem found,1
Not assigned,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
412220041,Explanation for customer  (IFU),PERFORMANCE COMPLAINT,Unable to diagnose fault,1
603090132,Maintenance / Cleaning,PERFORMANCE COMPLAINT,"Frozen, icing",1
501060168,Mechanical alignments,PERFORMANCE COMPLAINT,Unable to diagnose fault,1
601060259,Part Replaced,"PANEL, FRONT","Scratched, dented, sharp edges",1
610100472,Part Replaced,ACCESSORIES,"Cut, broken, split, torn",1
370922701832,Part Replaced,USER BOARD,Software problem,1
401206362,Part Replaced,HEATING ELEMENT (GENERIC/FORCED AIR/DEFR,Burnt,1
610100451,Product Installation,NEW APPLIANCE,No problem found,1
403110404,Product Installation,NEW APPLIANCE,No problem found,1
604050380,Repaired component,AIR GUIDE,"Misoperating (component, module)",1
999999999,Part Replaced,AIR GUIDE,"Misoperating (component, module)",1
605180219,Product exchange proposal,POWER BOARD,Worn out (or general mechanical defect),1
501290349,Repaired component,POWER BOARD,Faulty mains voltage,1
403110001,Mechanical alignments,GENERATOR,"Bad contact, connection",1
510150236,Part Replaced,THERMOSTAT,"Misoperating (component, module)",1
410200001,Part Replaced,DOOR,"Cut, broken, split, torn",1
151613002699,Part Replaced,CONTROL PANEL,Worn out (or general mechanical defect),1
604050026,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
409060060,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151506001685,Part Replaced,CAPACITOR,"Misoperating (component, module)",1
999999999,Part Replaced,INSTRUCTION FOR USE,"Scratched, dented, sharp edges",1
151642001163,Part Replaced,TRIM,"Cut, broken, split, torn",1
151631005496,Part Replaced,DOOR,"Cut, broken, split, torn",1
510115469,Part Replaced,USER BOARD,Software problem,1
609291234,Part Replaced,THERMOSTAT,"Misoperating (component, module)",1
151616006435,Part Replaced,USER BOARD,Open circuit,1
151636007869,Part Replaced,CONTROL PANEL,"Scratched, dented, sharp edges",1
151621004495,Repaired component,OTHERS MECHANICAL,"Misoperating (component, module)",1
309121274,Part Replaced,HOOK / DOOR-LATCH,"Cut, broken, split, torn",1
151622000507,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
609030439,Mechanical alignments,DOOR,Mechanically misaligned,1
421612002695,Part Replaced,POWER BOARD,Software problem,1
309202850,Part Replaced,THERMOSTAT,Open circuit,1
151621006503,Part Replaced,POWER BOARD,Unable to diagnose fault,1
206153887,Product exchange proposal,HEATING ELEMENT (UPPER - GRILL),"Incorrect wired, assembled",1
509030466,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
402240045,Part Replaced,TURNTABLE MOTOR,Mechanically misaligned,1
371419009655,Functional check,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
151602006222,Product exchange proposal,POWER BOARD,Software problem,1
151638000903,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
371209303472,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
371113300939,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
371322701544,Maintenance / Cleaning,DOOR,"Frozen, icing",1
371142701023,Part Replaced,POWER BOARD,"Cut, broken, split, torn",1
371424001622,Part Replaced,OTHERS ELECTRICAL,"Misoperating (component, module)",1
371423010097,Electrical alignment / wiring / Resolder,POWER BOARD,"Cracked, peeled, melted",1
151631007383,Lubrication,DOOR LOCK,"Incorrect wired, assembled",1
371432001157,Repaired component,OTHERS MECHANICAL,"Misoperating (component, module)",1
505090606,Part Replaced,INNER DOOR-GLASS,Corroded,1
999999999,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
151543005038,Mechanical alignments,CONTROL PANEL,"Loose, off, stripped",1
505150612,Part Replaced,CONTROL BOARD / SENSOR BOARD,Short circuit,1
612030126,Part Replaced,"FRAME, DOOR-GLASS (INNER)","Cut, broken, split, torn",1
371316703024,Part Replaced,MAGNETRON,"Incorrect wired, assembled",1
151619002915,Part Replaced,ACCESSORIES,No problem found,1
999999999,Part Replaced,CONTROL PANEL,"Misoperating (component, module)",1
510142880,Part Replaced,DOOR,Deformed,1
503090050,Mechanical alignments,"MOTOR-FAN, CIRCULATION","Bad contact, connection",1
506180550,Electrical alignment / wiring / Resolder,USER BOARD,Short circuit,1
151449000309,Part Replaced,DOOR,Deformed,1
151641003830,Part Replaced,POWER BOARD,Software problem,1
151540002937,Electrical alignment / wiring / Resolder,GENERATOR,"Bad contact, connection",1
421514011751,Electrical alignment / wiring / Resolder,POWER BOARD,"Bad contact, connection",1
407210337,Part Replaced,"FRAME, DOOR-GLASS (OUTER)","Misoperating (component, module)",1
151510006908,Part Replaced,USER BOARD,"Misoperating (component, module)",1
371036700928,Part Replaced,TURNTABLE MOTOR,"Electrically misaligned, wrong setting",1
608180073,Part Replaced,ACCESSORIES,"Scratched, dented, sharp edges",1
999999999,Preventive action,DOOR LOCK,"Blocked, clogged",1
371210700592,Part Replaced,POWER BOARD,Faulty mains voltage,1
405060643,Preventive action,INSTRUCTION FOR USE,No problem found,1
151506007574,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
371343012872,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Electrically misaligned, wrong setting",1
503246007,Electrical alignment / wiring / Resolder,USER BOARD,"Bad contact, connection",1
371126700229,Part Replaced,MAGNETRON,Burnt,1
371210302391,Part Replaced,POWER BOARD,Burnt,1
371212702358,Mechanical alignments,GENERATOR,"Bad contact, connection",1
999999999,Part Replaced,TRANSFORMER,"Cut, broken, split, torn",1
371138701060,Part Replaced,POWER BOARD,Software problem,1
371037701636,Functional check,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
371434005572,Part Replaced,MAIN MOTOR,Open circuit,1
370906701975,Part Replaced,HOOK / DOOR-LATCH,"Cut, broken, split, torn",1
610100084,Added,ACCESSORIES,Unable to diagnose fault,1
371210700568,Part Replaced,TURNTABLE MOTOR,"Bad contact, connection",1
605030014,Part Replaced,"CAP, PUSHBUTTON","Misoperating (component, module)",1
371322701470,Part Replaced,INNER-DOOR,"Incorrect wired, assembled",1
371251302537,Part Replaced,CONTAINERS,"Incorrect wired, assembled",1
151540000626,Repaired component,HINGES,"Blocked, clogged",1
151602006228,Electrical alignment / wiring / Resolder,TERMINAL-BOX / BLOCK,"Bad contact, connection",1
403260362,Part Replaced,TRANSFORMER,"Misoperating (component, module)",1
371039700182,Part Replaced,MAIN MOTOR,"Misoperating (component, module)",1
151506005448,Part Replaced,"PANEL, FRONT",Deformed,1
371426011523,Explanation for customer  (IFU),INSTRUCTION FOR USE,No problem found,1
605180511,Part Replaced,ACCESSORIES,"Cut, broken, split, torn",1
506180544,Mechanical alignments,IGNITION - SWITCH,"Blocked, clogged",1
608180044,Part Replaced,INSULATION,"Incorrect wired, assembled",1
151511000367,Part Replaced,CONTROL PANEL,"Misoperating (component, module)",1
371122303106,Product Installation,USER BOARD,"Electrically misaligned, wrong setting",1
151629004752,Part Replaced,INNER-LINER-CAVITY-TUB,"Paint, colour mismatch",1
151616006680,Mechanical alignments,GENERATOR,Mechanically misaligned,1
512030192,Product Installation,NEW APPLIANCE,No problem found,1
371042700921,Mechanical alignments,POWER BOARD,"Incorrect wired, assembled",1
151537009617,Repaired component,POWER BOARD,"Electrically misaligned, wrong setting",1
407210114,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
999999999,Mechanical alignments,DOOR / LID,"Misoperating (component, module)",1
Not assigned,Electrical alignment / wiring / Resolder,WIRING,"Cut, broken, split, torn",1
371426016899,Part Replaced,POWER BOARD,"Scratched, dented, sharp edges",1
405120170,Part Replaced,CONTROL BOARD / SENSOR BOARD,Short circuit,1
151642004233,Mechanical alignments,CABINET,"Loose, off, stripped",1
606040792,Part Replaced,MAINS LEAD / CORD,Open circuit,1
105122325,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
610101396,Product Installation,NEW APPLIANCE,No problem found,1
604050086,Electrical alignment / wiring / Resolder,IGNITION - SWITCH,"Incorrect wired, assembled",1
371143700658,Part Replaced,POWER BOARD,"Cut, broken, split, torn",1
151515002840,Product exchange proposal,CONTROL PANEL,Deformed,1
151602007740,Product exchange proposal,CABINET,Deformed,1
371414003475,Repaired component,POWER BOARD,"Cut, broken, split, torn",1
151520001465,Part Replaced,FUSE,Burnt,1
610101331,Mechanical alignments,HOOK / DOOR-LATCH,"Loose, off, stripped",1
151536003352,Part Replaced,MAGNETRON,Short circuit,1
610219739,Software correction / upgrade / reset,POWER BOARD,Software problem,1
371323701058,Part Replaced,OTHERS ELECTRICAL,"Loose, off, stripped",1
151523000829,Part Replaced,TURNTABLE MOTOR,Open circuit,1
604160047,Product exchange proposal,DOOR / LID,Deformed,1
371035700614,Part Replaced,MAGNETRON,Burnt,1
151647001470,Preventive action,DOOR,"Incorrect wired, assembled",1
151518000523,Mechanical alignments,MAGNETRON,Short circuit,1
371339003952,Product exchange proposal,BASE-PLATE,Deformed,1
605030430,Repaired component,OTHERS ELECTRICAL,"Incorrect wired, assembled",1
151621006928,Part Replaced,HEATING ELEMENT (GENERIC/FORCED AIR/DEFR,Open circuit,1
999999999,Product Installation,CABINET,No problem found,1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
371003701186,Part Replaced,STEP SWITCH,"Misoperating (component, module)",1
603020161,Mechanical alignments,DOOR,"Incorrect wired, assembled",1
999999999,Part Replaced,"PANEL, FRONT",Unable to diagnose fault,1
309050025,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
151638003769,Product exchange proposal,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
151610004503,Electrical alignment / wiring / Resolder,MAINS ON / OFF-SWITCH,Short circuit,1
604050123,Product Installation,NEW APPLIANCE,No problem found,1
371302305320,Part Replaced,HEATING ELEMENT RADIANT,"Incorrect wired, assembled",1
371038700478,Functional check,INSTRUCTION FOR USE,No problem found,1
371424007943,Functional check,PERFORMANCE COMPLAINT,No problem found,1
391409002228,Repaired component,"MOTOR-FAN, CIRCULATION",Unable to diagnose fault,1
421325014552,Electrical alignment / wiring / Resolder,TERMINAL-BOX / BLOCK,Open circuit,1
371349011548,Software correction / upgrade / reset,CONTROL BOARD / SENSOR BOARD,Software problem,1
412041083,Electrical alignment / wiring / Resolder,CONTROL BOARD / SENSOR BOARD,"Incorrect wired, assembled",1
151629003520,Mechanical alignments,CONTROL BOARD / SENSOR BOARD,Mechanically misaligned,1
151610000201,Mechanical alignments,"MOTOR-FAN, CIRCULATION",Noisy,1
370920700632,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
605170074,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Short circuit,1
421532011009,Part Replaced,CONTROL BOARD / SENSOR BOARD,Open circuit,1
999999999,Mechanical alignments,TRIM,"Misoperating (component, module)",1
151625001754,Mechanical alignments,PERFORMANCE COMPLAINT,Vibrating,1
371040306195,Part Replaced,MAGNETRON,Short circuit,1
606015767,Mechanical alignments,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
151701000462,Added,ACCESSORIES,Unable to diagnose fault,1
501290412,Mechanical alignments,INSTRUCTION FOR USE,No problem found,1
999999999,Product Installation,FRAME,Deformed,1
151538006129,Part Replaced,HINGES,"Misoperating (component, module)",1
Not assigned,Mechanical alignments,CONTROL PANEL,"Blocked, clogged",1
421510004262,Repaired component,OTHERS ELECTRICAL,"Loose, off, stripped",1
151614500029,Electrical alignment / wiring / Resolder,POWER BOARD,"Bad contact, connection",1
501060168,Product exchange proposal,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
412250075,Preventive action,PERFORMANCE COMPLAINT,No problem found,1
512030192,Part Replaced,ACCESSORIES,Burnt,1
421214008571,Part Replaced,CONTROL BOARD / SENSOR BOARD,Burnt,1
371109303427,Part Replaced,MAIN MOTOR,"Misoperating (component, module)",1
610100934,Product Installation,NEW APPLIANCE,No problem found,1
151619003075,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
371236701562,Part Replaced,USER BOARD,Short circuit,1
371351005188,Functional check,ACCESSORIES,Installation fault,1
999999999,Part Replaced,"CAP, PUSHBUTTON","Misoperating (component, module)",1
606041034,Functional check,DOOR,"Misoperating (component, module)",1
151620005964,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Software problem,1
511190177,Part Replaced,"MOTOR-FAN, CIRCULATION","Misoperating (component, module)",1
602011236,Mechanical alignments,POWER BOARD,"Incorrect wired, assembled",1
151542007925,Repaired component,THERMOSTAT,"Misoperating (component, module)",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
410150119,Part Replaced,"FRAME, DOOR-GLASS (OUTER)","Cut, broken, split, torn",1
151635003875,Mechanical alignments,INSTRUCTION FOR USE,No problem found,1
371418011238,Part Replaced,MAGNETRON,Burnt,1
511050147,Mechanical alignments,WIRING,"Loose, off, stripped",1
151508004260,Part Replaced,THERMOSTAT,"Scratched, dented, sharp edges",1
505160041,Product Installation,OTHERS MECHANICAL,No problem found,1
151546009749,Part Replaced,DOOR,"Loose, off, stripped",1
601120018,Mechanical alignments,DOOR LOCK,Mechanically misaligned,1
370546700006,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
431021012072,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
999999999,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
370947702884,Electrical alignment / wiring / Resolder,POWER BOARD,Burnt,1
701107212,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
151627003317,Product Installation,NEW APPLIANCE,No problem found,1
610101325,Product Installation,NEW APPLIANCE,Unable to diagnose fault,1
371217305538,Part Replaced,WIRING,Unable to diagnose fault,1
999999999,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
999999999,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
999999999,Part Replaced,HANDLE,"Cut, broken, split, torn",1
608180021,Preventive action,DOOR,Tight,1
601120177,Part Replaced,"PANEL, FRONT","Paint, colour mismatch",1
371148700883,Part Replaced,TURNTABLE MOTOR,"Cut, broken, split, torn",1
221,Part Replaced,PILOT LIGHT / LED,Burnt,1
151547008460,Part Replaced,MICROSWITCH,"Scratched, dented, sharp edges",1
999999999,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
610219691,Mechanical alignments,DOOR,Unable to diagnose fault,1
151621006938,Repaired component,"CAP, PUSHBUTTON","Cut, broken, split, torn",1
151602007744,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
421435002864,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
151628006056,Functional check,PERFORMANCE COMPLAINT,Customer misuse,1
609291234,Product exchange proposal,INNER-LINER-CAVITY-TUB,"Dirty, clogged",1
999999999,Explanation for customer  (IFU),INSTRUCTION FOR USE,No problem found,1
602230560,Functional check,POWER BOARD,Burnt,1
412250124,Preventive action,DOOR,"Misoperating (component, module)",1
999999999,Mechanical alignments,DOOR,Mechanically misaligned,1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
371341011289,Product exchange proposal,PERFORMANCE COMPLAINT,Deformed,1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151618002212,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
603161190,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Blocked, clogged",1
151512003194,Part Replaced,DOOR,"Cut, broken, split, torn",1
512030027,Part Replaced,DOOR,"Cut, broken, split, torn",1
512030028,Part Replaced,DOOR,"Cut, broken, split, torn",1
604050241,Product exchange proposal,INNER DOOR-GLASS,"Scratched, dented, sharp edges",1
303090020,Part Replaced,HOOK / DOOR-LATCH,"Misoperating (component, module)",1
601191182,Part Replaced,TRANSFORMER,"Cut, broken, split, torn",1
301290128,Repaired component,OTHERS ELECTRICAL,Software problem,1
903230365,Part Replaced,KNOB,"Misoperating (component, module)",1
606230064,Part Replaced,CONTROL PANEL,"Incorrect wired, assembled",1
151604009877,Part Replaced,HOB,"Cut, broken, split, torn",1
421518007996,Repaired component,OTHERS MECHANICAL,"Misoperating (component, module)",1
371341008670,Part Replaced,POWER BOARD,Software problem,1
151521006004,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
509030580,Product exchange proposal,POWER BOARD,Software problem,1
151603005385,Part Replaced,DOOR,Corroded,1
221220000001,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
151612005385,Product exchange proposal,CABINET,Deformed,1
999999999,Part Replaced,PILOT LIGHT / LED,"Misoperating (component, module)",1
501060109,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Burnt,1
507080950,Part Replaced,DOOR LOCK,"Incorrect wired, assembled",1
509030299,Part Replaced,"FRAME, DOOR-GLASS (OUTER)","Incorrect wired, assembled",1
151620006463,Part Replaced,DOOR,"Cut, broken, split, torn",1
999999999,Preventive action,DOOR-GLASS,"Incorrect wired, assembled",1
370951700583,Part Replaced,CONTROL BOARD / SENSOR BOARD,Short circuit,1
371334002330,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
Not assigned,Repaired component,OTHERS MECHANICAL,"Misoperating (component, module)",1
604050095,Part Replaced,SPRING,"Cut, broken, split, torn",1
371209701823,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
609100228,Product exchange proposal,OTHERS MECHANICAL,"Misoperating (component, module)",1
371418007564,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
Not assigned,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151544005476,Part Replaced,DOOR,"Cut, broken, split, torn",1
512030192,Mechanical alignments,OTHERS ELECTRICAL,Unable to diagnose fault,1
151635006047,Part Replaced,MAGNETRON,Noisy,1
507290520,Product exchange proposal,SUPPORT/BRACKET,"Incorrect wired, assembled",1
151638001105,Product exchange proposal,INNER-DOOR,Mechanically misaligned,1
151610001607,Product exchange proposal,USER BOARD,"Misoperating (component, module)",1
151527005209,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
371348001061,Part Replaced,MAGNETRON,Customer misuse,1
371303304172,Repaired component,DOOR LOCK,"Incorrect wired, assembled",1
151617004704,Part Replaced,DOOR LOCK,"Scratched, dented, sharp edges",1
611152864,Part Replaced,USER BOARD,"Misoperating (component, module)",1
370926304514,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
605180120,Product exchange proposal,INNER-DOOR,Deformed,1
151619003185,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
151617004636,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
